iter	Passed	Remaining
0	8	239
1	16	231
2	24	216
3	30	200
4	38	192
5	45	183
6	53	174
7	60	166
8	69	161
9	77	155
10	85	147
11	92	138
12	99	130
13	106	121
14	113	113
15	121	106
16	128	98
17	137	91
18	144	83
19	151	75
20	158	68
21	166	60
22	173	52
23	182	45
24	190	38
25	197	30
26	201	22
27	208	14
28	209	7
29	216	0
