iter	Logloss
0	0.6664447321
1	0.6361037505
2	0.6083151652
3	0.5853809723
4	0.5608221224
5	0.541894375
6	0.521686564
7	0.5022778502
8	0.4855799626
9	0.4685359882
10	0.4512352029
11	0.4353298254
12	0.4211966421
13	0.411254282
14	0.3965040311
15	0.3858436413
16	0.3726991949
17	0.3583799555
18	0.3480549315
19	0.3392774606
20	0.3283835285
21	0.3194931349
22	0.3123723309
23	0.305330638
24	0.2964027719
25	0.2913915142
26	0.2877359006
27	0.2817195026
28	0.2747220986
29	0.2688546744
30	0.2622814334
31	0.2580788866
32	0.2522635233
33	0.2456868571
34	0.2409421361
35	0.2366954945
36	0.2327690643
37	0.2294009003
38	0.226006071
39	0.2229844881
40	0.2188753909
41	0.2172962653
42	0.2134987942
43	0.2107569378
44	0.2079980398
45	0.2055779696
46	0.2034237465
47	0.1997229252
48	0.1981064904
49	0.194515596
50	0.1920635255
51	0.1906234015
52	0.1879810628
53	0.1865422638
54	0.1831730729
55	0.1815585625
56	0.1794706848
57	0.1778951622
58	0.1755948665
59	0.1731237109
60	0.1704328811
61	0.1686133883
62	0.1671909609
63	0.1660675785
64	0.1644366655
65	0.1628917032
66	0.1617985059
67	0.1605278881
68	0.1580506077
69	0.1563889233
70	0.1540815242
71	0.1527595687
72	0.151877702
73	0.1501442013
74	0.1487092147
75	0.1465001517
76	0.1454673433
77	0.1440970011
78	0.1430084321
79	0.141926353
80	0.1406587364
81	0.1395166691
82	0.1382833185
83	0.137690536
84	0.1369342896
85	0.1363024029
86	0.1351954176
87	0.1339941397
88	0.132902244
89	0.1319196001
90	0.1304816653
91	0.1295274408
92	0.1291939196
93	0.1284026343
94	0.1272293186
95	0.1262807649
96	0.1256130502
97	0.1249286799
98	0.1240429783
99	0.1231610759
100	0.1225920561
101	0.1214721216
102	0.1207190864
103	0.1199536114
104	0.1194769442
105	0.1185529599
106	0.1175081111
107	0.116706121
108	0.115963745
109	0.1153491818
110	0.1149837203
111	0.1141981229
112	0.1135681433
